日期,现金,持仓市值,总资产,持仓数量
2019-05-23,302.07400000083726,1418092.0270000002,1423870.1490000007,5
2019-05-24,235.10300000093412,1423119.3059999999,1422653.7230000007,5
2019-05-27,250.2300000009709,1422093.363,1433212.2690000008,5
2019-05-28,161.38500000088243,1414673.0639999998,1433561.425000001,5
2019-05-29,340.96300000080373,1408829.099,1431538.534000001,5
2019-05-30,314.991000000794,1404733.779,1415641.1280000007,5
2019-05-31,180.4190000007511,1400084.919,1410484.7740000007,5
2019-06-03,333.512000000861,1397685.796,1406340.5520000008,5
2019-06-04,358.1200000011013,1394151.4689999998,1395273.762000001,5
2019-06-05,280.2100000010105,1393798.866,1394536.301000001,5
2019-06-06,231.77800000085125,1423326.4559999998,1385388.0280000009,5
2019-06-10,302.60500000062166,1425503.8059999999,1416426.7940000007,5
2019-06-11,244.9200000006822,1427542.6639999999,1431307.297000001,5
2019-06-12,195.7930000007036,1427582.9209999999,1424461.3560000008,5
2019-06-13,269.32500000076834,1404909.5899999999,1424580.7440000009,5
2019-06-14,303.17900000087684,1405714.26,1391906.6970000009,5
2019-06-17,294.76100000098813,1405605.4900000002,1398183.4250000007,5
2019-06-18,349.01900000090245,1407109.1080000002,1390988.9450000012,5
2019-06-19,232.04300000093644,1408761.2460000003,1398602.551000001,5
2019-06-20,255.67400000075577,1430168.505,1409059.0890000009,5
2019-06-21,315.6390000007232,1434712.63,1436866.4190000007,5
2019-06-24,215.69900000089547,1467903.1460000002,1437266.6690000012,5
2019-06-25,298.9770000008284,1451832.8939999999,1448724.8050000009,5
2019-06-26,170.12100000085775,1456360.53,1450465.8510000007,5
2019-06-27,296.88100000080885,1460115.27,1447833.9610000008,5
2019-06-28,269.5770000008051,1460175.0300000003,1447260.1470000008,5
2019-07-01,281.3070000009029,1479931.242,1473927.6970000009,5
2019-07-02,356.6170000009006,1479116.5019999999,1486047.2370000007,5
2019-07-03,242.4320000008447,1482522.102,1489730.336000001,5
2019-07-04,261.13400000100955,1466365.973,1506904.074000001,5
2019-07-05,268.5920000009937,1435131.8679999998,1470069.875000001,5
2019-07-08,212.9470000009169,1429776.133,1441830.7320000008,5
2019-07-09,297.8040000007022,1413765.27,1430564.2900000007,5
2019-07-10,196.06400000082795,1443618.5499999998,1422037.6940000006,5
2019-07-11,389.11400000077447,1446615.79,1430714.9340000008,5
2019-07-12,169.75800000078743,1449563.662,1430555.590000001,5
2019-07-15,137.71700000079454,1449655.2419999999,1434506.9430000011,5
2019-07-16,361.13300000084564,1451643.21,1453780.351000001,5
2019-07-17,199.90500000078464,1450193.01,1456289.773000001,5
2019-07-18,215.15500000078464,1450193.01,1447779.3050000006,5
2019-07-19,212.60500000079628,1443271.47,1444402.665000001,5
2019-07-22,297.5550000008079,1441609.47,1412874.928000001,5
2019-07-23,153.23500000068452,1442340.766,1424279.372000001,5
2019-07-24,180.86700000072597,1444130.4300000002,1424072.399000001,5
2019-07-25,298.76500000077067,1442160.31,1426319.547000001,5
2019-07-26,307.7150000007823,1444688.2580000001,1425738.365000001,5
2019-07-29,233.65300000086427,1450809.534,1442681.2030000007,5
