日期,转债代码,转债名称,操作,数量,价格,金额,收益,收益率
2018-02-28,123005.SZ,万信转债,买入,12,111.615,1339.3799999999999,0.0,0.0
2018-02-28,128015.SZ,久其转债,买入,1921,104.194,200156.674,0.0,0.0
2018-02-28,113017.SH,吉视转债,买入,1978,101.2,200173.6,0.0,0.0
2018-03-01,123005.SZ,万信转债,卖出,14,113.93,1595.02,21.48808700501951,1.3655958819494218
2018-03-01,128015.SZ,久其转债,卖出,54,108.55,5861.7,235.2239999999997,4.180662994030371
2018-03-01,110039.SH,宝信转债,买入,1463,138.58,202742.54,0.0,0.0
2018-03-02,123005.SZ,万信转债,卖出,3,112.57,337.71,-2.1289207419899157,-0.6264499479170071
2018-03-02,113017.SH,吉视转债,卖出,13,101.74,1322.62,7.0199999999998965,0.5335968379446498
2018-03-02,110039.SH,宝信转债,卖出,1463,133.04,194637.52,-8105.0200000000295,-3.997690864482628
2018-03-02,128015.SZ,久其转债,买入,15,106.2,1593.0,0.0,0.0
2018-03-05,123005.SZ,万信转债,卖出,20,114.0,2280.0,10.580180180180037,0.4662063884248724
2018-03-05,113017.SH,吉视转债,买入,17,101.01,1717.17,0.0,0.0
2018-03-05,128015.SZ,久其转债,买入,1,106.32,106.32,0.0,0.0
2018-03-06,113017.SH,吉视转债,卖出,15,101.13,1516.9499999999998,-10.982164480323178,-0.7187599512350373
2018-03-06,123005.SZ,万信转债,买入,4,113.0,452.0,0.0,0.0
2018-03-06,128015.SZ,久其转债,买入,35,103.7,3629.5,0.0,0.0
2018-03-07,128015.SZ,久其转债,卖出,1918,103.8,199088.4,-6397.094,-3.113160873535925
2018-03-07,128014.SZ,永东转债,买入,1860,106.9,198834.0,0.0,0.0
2018-03-07,113017.SH,吉视转债,买入,1,101.05,101.05,0.0,0.0
2018-03-07,123005.SZ,万信转债,买入,1,112.911,112.911,0.0,0.0
2018-03-08,113017.SH,吉视转债,卖出,10,101.42,1014.2,-12.181199186991876,-1.186810436184993
2018-03-08,128014.SZ,永东转债,买入,14,106.01,1484.14,0.0,0.0
2018-03-08,123005.SZ,万信转债,买入,1,112.71,112.71,0.0,0.0
2018-03-09,123005.SZ,万信转债,卖出,20,114.599,2291.98,-3.1630306469918423,-0.13781409719376692
2018-03-09,113017.SH,吉视转债,卖出,9,102.4,921.6,-6.860868232890624,-0.7389507159250241
2018-03-09,128014.SZ,永东转债,卖出,1874,105.9,198456.6,-1861.539999999999,-0.9292917755725938
2018-03-09,110039.SH,宝信转债,买入,1510,132.18,199591.80000000002,0.0,0.0
2018-03-12,123005.SZ,万信转债,卖出,3,115.855,347.565,-0.6590545350171908,-0.1892616338343478
2018-03-12,110039.SH,宝信转债,卖出,36,136.67,4920.12,161.6399999999993,3.3968830382811177
2018-03-12,113017.SH,吉视转债,买入,16,102.55,1640.8,0.0,0.0
2018-03-13,123005.SZ,万信转债,卖出,30,117.42,3522.6,34.35213916043736,0.9847963943757643
2018-03-13,113017.SH,吉视转债,卖出,1,102.21,102.21,-1.4198320610687034,-1.3700997413872096
2018-03-13,110039.SH,宝信转债,卖出,1474,132.64,195511.36,-4080.440000000034,-2.0443926053074546
2018-03-13,128032.SZ,双环转债,买入,1870,107.35,200744.5,0.0,0.0
2018-03-14,123005.SZ,万信转债,卖出,1,117.0,117.0,-1.3160333528379198,-1.1123034770049278
2018-03-14,113017.SH,吉视转债,卖出,1964,101.46,199267.43999999997,-4365.1800000000185,-2.143654587364252
2018-03-14,110043.SH,无锡转债,买入,2051,97.43,199828.93000000002,0.0,0.0
2018-03-14,128032.SZ,双环转债,买入,10,106.3,1063.0,0.0,0.0
2018-03-15,123005.SZ,万信转债,卖出,43,120.01,5160.43,69.86188348946143,1.372378915093475
2018-03-15,128032.SZ,双环转债,买入,42,103.92,4364.64,0.0,0.0
2018-03-15,110043.SH,无锡转债,买入,11,96.89,1065.79,0.0,0.0
2018-03-16,123005.SZ,万信转债,卖出,1665,121.5,202297.5,95.39899999999868,0.04718002410866173
2018-03-16,128032.SZ,双环转债,卖出,12,105.143,1261.716,-25.519005202913718,-1.9824666902133359
2018-03-16,113017.SH,吉视转债,买入,1976,101.6,200761.59999999998,0.0,0.0
2018-03-16,110043.SH,无锡转债,买入,8,96.99,775.92,0.0,0.0
2018-03-19,113017.SH,吉视转债,卖出,1976,101.7,200959.2,197.60000000001685,0.09842519685039353
2018-03-19,128032.SZ,双环转债,买入,3,104.888,314.664,0.0,0.0
2018-03-19,110043.SH,无锡转债,买入,3,96.8,290.4,0.0,0.0
2018-03-19,123008.SZ,康泰转债,买入,1672,119.982,200609.904,0.0,0.0
2018-03-20,123008.SZ,康泰转债,卖出,22,121.9,2681.8,42.19600000000014,1.5985731193012276
2018-03-20,110043.SH,无锡转债,买入,11,96.53,1061.83,0.0,0.0
2018-03-20,128032.SZ,双环转债,买入,7,104.78,733.46,0.0,0.0
2018-03-21,123008.SZ,康泰转债,卖出,25,123.931,3098.275,58.73099999999987,1.9322306240672882
2018-03-21,128032.SZ,双环转债,买入,18,103.921,1870.5780000000002,0.0,0.0
2018-03-21,110043.SH,无锡转债,买入,5,96.44,482.2,0.0,0.0
2018-03-22,123008.SZ,康泰转债,卖出,1625,124.93,203011.25,2401.3460000000055,1.19702265547168
2018-03-22,113503.SH,泰晶转债,买入,1842,109.25,201238.5,0.0,0.0
2018-03-22,113012.SH,骆驼转债,买入,1902,105.78,201193.56,0.0,0.0
2018-03-23,128032.SZ,双环转债,卖出,1938,101.683,197061.654,-12029.187999999978,-5.753091759035522
2018-03-23,110043.SH,无锡转债,卖出,2089,94.2,196783.80000000002,-6721.270000000023,-3.3027530960285323
2018-03-23,113503.SH,泰晶转债,卖出,2,108.32,216.64,-1.8600000000000136,-0.8512585812357032
2018-03-23,113012.SH,骆驼转债,卖出,1902,104.93,199576.86000000002,-1616.6999999999891,-0.8035545471733685
2018-03-23,128026.SZ,众兴转债,买入,2072,96.19,199305.68,0.0,0.0
2018-03-23,113504.SH,艾华转债,买入,1836,108.55,199297.8,0.0,0.0
2018-03-26,113503.SH,泰晶转债,卖出,12,109.59,1315.08,2.6549999999999727,0.2022972741299478
2018-03-26,113504.SH,艾华转债,卖出,1836,109.6,201225.59999999998,1927.7999999999947,0.9672961768770083
2018-03-26,128026.SZ,众兴转债,买入,2,96.599,193.198,0.0,0.0
2018-03-26,123005.SZ,万信转债,买入,1610,124.422,200319.41999999998,0.0,0.0
2018-03-27,113503.SH,泰晶转债,卖出,17,112.06,1905.02,33.54598468271334,1.7924900056400794
2018-03-27,128026.SZ,众兴转债,卖出,11,98.39,1082.29,24.195661523625915,2.286720630077932
2018-03-27,123005.SZ,万信转债,卖出,18,127.43,2293.7400000000002,54.14400000000043,2.417578884763172
2018-03-28,128026.SZ,众兴转债,卖出,19,98.616,1873.704,36.34157537566658,1.9779208983822016
2018-03-28,113505.SH,杭电转债,买入,1980,101.83,201623.4,0.0,0.0
2018-03-28,113503.SH,泰晶转债,买入,17,110.26,1874.42,0.0,0.0
2018-03-29,113503.SH,泰晶转债,卖出,1828,110.36,201738.08,-1374.8400000000242,-0.6768845625379383
2018-03-29,113505.SH,杭电转债,卖出,4,102.27,409.08,1.759999999999991,0.43209270352548845
2018-03-29,128026.SZ,众兴转债,买入,6,98.6,591.5999999999999,0.0,0.0
2018-03-29,123005.SZ,万信转债,买入,13,125.95,1637.3500000000001,0.0,0.0
2018-03-30,128026.SZ,众兴转债,卖出,2050,98.357,201631.85,1541.371999999997,0.7703375070152063
2018-03-30,123005.SZ,万信转债,卖出,50,131.33,6566.500000000001,275.0118380062318,4.371173098084324
2018-03-30,113505.SH,杭电转债,卖出,4,103.6,414.4,6.255465587044512,1.5326594036207952
2018-03-30,110042.SH,航电转债,买入,1800,113.48,204264.0,0.0,0.0
2018-03-30,113503.SH,泰晶转债,买入,1832,111.47,204213.04,0.0,0.0
2018-04-02,123005.SZ,万信转债,卖出,1555,132.9,206659.5,4702.730000000028,2.328582498125731
2018-04-02,113503.SH,泰晶转债,卖出,1832,114.24,209287.68,5074.639999999993,2.4849735354803837
2018-04-02,128036.SZ,金农转债,买入,2063,100.01,206320.63,0.0,0.0
2018-04-02,128026.SZ,众兴转债,买入,2060,100.199,206409.94,0.0,0.0
2018-04-02,113505.SH,杭电转债,买入,1,104.61,104.61,0.0,0.0
2018-04-02,110042.SH,航电转债,买入,9,114.05,1026.45,0.0,0.0
2018-04-03,113505.SH,杭电转债,卖出,3,104.55,313.65,6.9170907247846145,2.2550859446836435
2018-04-03,110042.SH,航电转债,卖出,1809,113.8,205864.19999999998,573.7499999999797,0.27948207040315864
2018-04-03,128036.SZ,金农转债,卖出,3,100.01,300.03000000000003,0.0,0.0
2018-04-03,128026.SZ,众兴转债,买入,9,99.55,895.9499999999999,0.0,0.0
2018-04-03,128032.SZ,双环转债,买入,1957,105.25,205974.25,0.0,0.0
2018-04-04,113505.SH,杭电转债,卖出,10,105.28,1052.8,28.79994923857879,2.8124949034098012
2018-04-04,128026.SZ,众兴转债,卖出,5,99.972,499.85999999999996,-1.1208844852586708,-0.22373797483518088
2018-04-04,128032.SZ,双环转债,卖出,1957,104.893,205275.601,-698.6489999999986,-0.3391923990498813
2018-04-04,128036.SZ,金农转债,买入,3,100.032,300.096,0.0,0.0
2018-04-04,123005.SZ,万信转债,买入,1612,128.0,206336.0,0.0,0.0
2018-04-09,113505.SH,杭电转债,卖出,11,105.97,1165.67,33.52300510204098,2.961011710768391
2018-04-09,123005.SZ,万信转债,卖出,2,128.3,256.6,0.6000000000000227,0.23437500000000888
2018-04-09,128036.SZ,金农转债,买入,7,99.78,698.46,0.0,0.0
2018-04-09,128026.SZ,众兴转债,买入,5,99.81,499.05,0.0,0.0
2018-04-10,113505.SH,杭电转债,卖出,13,105.1,1366.3,20.7565777321704,1.5426167144562575
2018-04-10,128036.SZ,金农转债,卖出,9,98.76,888.84,-12.547765217391188,-1.3920496485067102
2018-04-10,123005.SZ,万信转债,卖出,1610,124.7,200767.0,-5569.000000000001,-2.6989958126550917
2018-04-10,128026.SZ,众兴转债,买入,25,97.18,2429.5,0.0,0.0
